emotion,city,2011,2012,2013,2014
negative,nyc,96.6203,9.8966,-0.4498,0.8712
negative,losangeles,291.5081,30.3161,5.6121,-10.3367
negative,chicago,90.5024,12.4321,4.4256,-19.2566
negative,houston,201.9693,58.3485,10.4839,-21.4121
negative,phoenix,5430,281.9168,72.3485,4.5604
neutral,nyc,117.177,11.7263,3.478,-0.9816
neutral,losangeles,306.0748,45.5696,11.8577,-17.1025
neutral,chicago,114.0766,22.0936,17.1478,-21.8095
neutral,houston,201.2945,57.6799,24.3869,-20.7558
neutral,phoenix,4500,339.1304,47.2772,-1.3445
positive,nyc,99.8447,7.2211,-0.3283,-3.6972
positive,losangeles,274.7439,32.0106,5.125,-14.571
positive,chicago,93.6153,12.0428,6.278,-22.7984
positive,houston,184.1717,56.2139,13.0797,-21.3664
positive,phoenix,5391.1111,269.7693,63.9378,4.3661
